id,name,category,province,latitude,longitude,image,description,model3d,audio_file
1,Lăng Tự Đức,di_tich_lich_su,Thừa Thiên Huế,16.4326,107.5654,https://static.vinwonders.com/production/lang-tu-duc-01.jpg,Một trong những công trình đẹp nhất của kiến trúc thời Nguyễn với không gian sơn thủy hữu tình.,"b5d78ecd5e62483192d7ccd193bc063b,ed319997b5354c1eb9b8dbf810044295"
2,Phố cổ Hội An,di_tich_lich_su,Quảng Nam,15.8783,108.3275,https://th.bing.com/th/id/OIP.OqBOQAuhkWtiHichcCK00gHaE4?w=292&h=192&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Di sản văn hóa thế giới được UNESCO công nhận với kiến trúc đô thị cổ được bảo tồn gần như nguyên vẹn.,"3ba1b177678a42198c9bb5b277211a3d,3407fcb8b87e46d19c7406c31bece76c"
3,Cung An Định,di_tich_lich_su,Thừa Thiên Huế,16.4594,107.5955,https://th.bing.com/th/id/OIP.hpwIKQDJuZznLUCpDT7z0wHaE-?w=284&h=190&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Cung điện riêng của vua Khải Định với sự pha trộn độc đáo giữa kiến trúc Pháp và cung đình Huế.,"b0232236c2df44aa8c7e55c1362b18a3,fd6df65eae404a7dbf006f68e7857a2e,dca05e147d79420eb3696eefcf8e1f19"
4,Đền thờ Vua Hùng,chua_temple,Cần Thơ,10.0768,105.7483,https://kenhhomestay.com/wp-content/uploads/2023/06/den-Hung-Can-Tho-3.jpg,Công trình kiến trúc văn hóa tâm linh quy mô lớn tại miền Tây mang biểu tượng trống đồng và bánh chưng bánh giầy.,335732e069d64197b22cf1093900430e
5,Thánh địa Mỹ Sơn,di_tich_lich_su,Quảng Nam,15.7645,108.1244,https://th.bing.com/th/id/OIP.yIB2yHkgl4b-oMfMmB420AHaE8?w=279&h=186&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Quần thể đền đài Chăm Pa cổ kính giữa thung lũng núi non hùng vĩ.,"049280a05c4a49fca4933ffa2584ab25,850da3ed395c4ac78124fffad45b91e8,cb63ff077e6b446fbc4a9169c2433d57,d7573bcb8780445886f1db9fb9b38c49,1ea06972ce5944539f72834264bc86e1,26a823ede93848d39b01caf64743777c"
6,Tháp Rùa - Hồ Gươm,di_tich_lich_su,Hà Nội,21.0283,105.8523,https://th.bing.com/th/id/OIP.b7tN_wxMtwHrZyLYYVLjbgHaFu?w=243&h=188&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,Biểu tượng thiêng liêng của thủ đô Hà Nội ngàn năm văn hiến nằm giữa mây nước Hồ Gươm gắn liền với truyền thuyết vua Lê Lợi trả gươm báu cho rùa vàng.,"e1b8f3371a0a4f3c99e72e91a795db1a"
7,Bảo tàng Văn hóa Sa Huỳnh,bao_tang,Quảng Nam,15.8771,108.3262,https://th.bing.com/th/id/OIP.HgLexcknyubhYEMAetheQAHaG_?w=209&h=197&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Nơi lưu giữ bộ sưu tập độc đáo về văn hóa Sa Huỳnh với hệ thống mộ chum và đồ trang sức đặc trưng của cư dân cổ từng sinh sống tại Hội An hơn 2000 năm trước.","4a9b7fe00dd34df8be9afcd3c85c609d"
8,Chùa Một Cột,di_tich_lich_su,Hà Nội,21.0359,105.8335,https://th.bing.com/th/id/OIP.sHPZCbaMGf0QvTgvrJxADQHaEK?w=255&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Ngôi chùa có kiến trúc độc đáo mang hình dáng một đóa sen nở rực rỡ trên mặt nước, được vua Lý Thái Tông khởi công xây dựng vào năm 1049 sau một giấc mộng linh ứng.","9b2562f8884141c0b1777e1a1c05887c"
9,Ngọ Môn - Đại Nội Huế,di_tich_lich_su,Thừa Thiên Huế,16.4678,107.5772,https://th.bing.com/th/id/OIP.7lzo6OXzMi7HM2zeaMXH1gHaEf?w=297&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Cổng chính phía Nam của Hoàng thành Huế, công trình kiến trúc đồ sộ hình chữ U với hệ thống Ngũ Phụng Lầu, là nơi vua chứng kiến các buổi lễ quan trọng của triều Nguyễn.","6acf4f949d5247f3afa6afdaa7c188bd"
10,Đền Maran - Hatra,di_tich_lich_su,Nineveh (Iraq),35.5840,42.7160,https://th.bing.com/th/id/OIP.E2NJ8JUAvUAct6R4oPBaOwHaEz?w=302&h=196&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Ngôi đền thờ thần Mặt trời mang kiến trúc pha trộn độc đáo giữa phong cách Hy Lạp, La Mã và phương Đông tại thành phố cổ Hatra.","f732ba653155433185df90ddd4ea42e1"
11,Đại học Lao động Gijón (1946-1955),di_tich_lich_su,Asturias (Tây Ban Nha),43.5233,-5.6150,https://th.bing.com/th/id/OIP.R2F4gYMOZUAzRafDDW4cnwHaEV?w=275&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Tòa nhà lớn nhất Tây Ban Nha và là kiệt tác kiến trúc quan trọng nhất thế kỷ 20 tại vùng Asturias với tháp chuông cao 130 mét và khoảng sân trung tâm rộng lớn.","13936703d5514e039813b83e6a5a49b1"
12,Tu viện Saint-Léonard (Thế kỷ 11),di_tich_lich_su,L'Île-Bouchard (Pháp),47.1189,0.4285,https://strapi-upload.cdn.fondation-patrimoine.org/large_IMG_5778_199567e4b0.jpg,"Một kiệt tác kiến trúc Romanesque tiêu biểu từ thế kỷ 11 tại Pháp, nổi tiếng với các đầu cột đá được chạm khắc tinh xảo minh chứng cho nghệ thuật tôn giáo Trung cổ.","f7d9d56bc04c490d839278081d6a48ed"
13,Nhà hát La Mã tại Palmyra,di_tich_lich_su,Tadmur (Syria),34.5503,38.2681,https://th.bing.com/th/id/OIP.-HnmOkkK4j-ZwRPo9FiW1gHaE7?w=295&h=197&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Nhà hát cổ đại được xây dựng từ thế kỷ thứ 2 tại thành phố cổ Palmyra. Đây là một kiệt tác kiến trúc La Mã với hàng cột Corinthian tinh xảo và là một phần quan trọng của Di sản thế giới UNESCO.","df8c89dc21174103994d06e5d7c59e54"
14,Đền Thian Hock Keng (Thiên Phúc Cung),di_tich_lich_su,Singapore,1.2815,103.8476,https://th.bing.com/th/id/OIP.VTzv_zTBXV0_0Rw_CWv5nQHaD4?w=296&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Là một trong những ngôi đền Phúc Kiến lâu đời nhất Singapore, hoàn thành năm 1842 hoàn toàn bằng vật liệu nhập từ Trung Quốc. Nơi đây nổi bật với nét chạm khắc tinh xảo và từng đạt giải thưởng bảo tồn di sản của UNESCO khu vực châu Á - Thái Bình Dương năm 2001.","bb3b3ceb9e0b4b67a38bf9c5003818c9"
15,Hành lang Tu viện Westminster,di_tich_lich_su,London (Anh),51.4993,-0.1273,https://th.bing.com/th/id/OIP.6hFvunMtIQTHZt2sqgHafQHaFc?w=237&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Khu hành lang tuyệt đẹp mang đậm dấu ấn kiến trúc Gothic từ thế kỷ 14. Du khách có thể bước vào không gian thanh bình này thông qua vé tham quan tu viện hoặc thẻ thành viên English Heritage.","8d91448fdaf64e80932e885524f04c2b"
16,Cung điện Sans-Souci,di_tich_lich_su,Milot (Haiti),19.6065,-72.2438,https://th.bing.com/th/id/OIP.3YchpRUr0_f76IWHdZoGXgHaEK?w=289&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3,"Từng là dinh thự hoàng gia lộng lẫy bậc nhất vùng Caribbean do Vua Henri Christophe xây dựng đầu thế kỷ 19. Nơi đây là biểu tượng kiêu hãnh cho nền độc lập và tự do của người Haiti trước khi bị tàn phá bởi động đất.","d0f7b0f434604f47a91a1e6a72399d2d"